단지명,구,거래수
2차한양아파트,송파구,7
DMC 진흥,은평구,5
DMCSKVIEW,은평구,7
DMCSK뷰아이파크포레,은평구,34
DMC금호리첸시아,서대문구,8
DMC두산위브,서대문구,7
DMC래미안e편한세상,서대문구,33
DMC래미안클라시스,서대문구,22
DMC롯데캐슬더퍼스트,은평구,32
DMC마포청구아파트,마포구,5
DMC센트럴아이파크,서대문구,19
DMC센트럴자이(2단지),은평구,10
DMC센트럴자이(3단지),은평구,7
DMC센트레빌,서대문구,9
DMC에코자이,서대문구,17
DMC우방,은평구,11
DMC파인시티자이,은평구,15
DMC파크뷰자이1단지,서대문구,12
DMC한양,서대문구,21
DMC현대아파트,서대문구,5
LG선릉에클라트(B),강남구,6
LIG대학마을(건영아파트3차),관악구,29
LIG서울역리가,중구,7
e-편한세상,강남구,12
e편한세상,도봉구,5
e편한세상 수색 에코포레,은평구,17
e편한세상광진그랜드파크,광진구,10
e편한세상독산더타워,금천구,18
e편한세상백련산,은평구,9
e편한세상상도노빌리티,동작구,7
e편한세상서대문,서대문구,5
e편한세상서울대입구1단지,관악구,19
e편한세상서울대입구2단지,관악구,12
e편한세상서울대입구2차,관악구,10
e편한세상송파파크센트럴,송파구,11
e편한세상신촌1단지,서대문구,6
e편한세상염창,강서구,6
e편한세상영등포아델포레,영등포구,10
가락(1차)쌍용아파트,송파구,17
가락금호아파트,송파구,8
가락미륭아파트,송파구,9
가양2단지(성지),강서구,52
가양6단지,강서구,46
가양강나루현대,강서구,11
가양도시개발9-2단지,강서구,30
가양우성,강서구,6
갈현동현대,은평구,9
갈현현대,은평구,5
갑을,송파구,5
강남센트럴아이파크,강남구,15
강남자곡 힐스테이트,강남구,5
강남한양수자인(4단지),강남구,11
강동리버스트8단지,강동구,24
강동리엔파크14단지,강동구,27
강동역두산위브센티움,강동구,7
강동헤리티지자이,강동구,9
강변,강서구,50
강변래미안,영등포구,8
강변스카이타워,광진구,55
강변코아루,강서구,5
강변한솔솔파크,강서구,6
강변힐스테이트,마포구,8
강서한강자이,강서구,9
강서힐스테이트,강서구,36
강일리버파크3단지,강동구,10
강일리버파크7단지,강동구,6
강촌,용산구,11
개봉동현대아이파크,구로구,19
개봉푸르지오,구로구,9
개포래미안포레스트,강남구,26
개포자이프레지던스,강남구,45
개화,강서구,9
갤러리빌,강서구,15
갤러리아팰리스,송파구,9
거성파스텔,영등포구,5
거성푸르뫼,구로구,5
거여1단지,송파구,35
거여4단지,송파구,10
거여5단지,송파구,16
거장메카,은평구,14
건양노블레스빌,노원구,5
건영,구로구,5
건영,노원구,12
건영,동작구,9
건영,양천구,10
건영,영등포구,9
건영(103동-106동),동작구,10
건영1,관악구,9
건영1,중랑구,10
건영2,관악구,5
건영2,노원구,5
건영2차,중랑구,10
건영2차아파트,중랑구,12
건영3,노원구,12
건영6,관악구,5
건영월드컵,마포구,6
건영장미아파트,노원구,9
건영캐스빌,중랑구,10
경남,노원구,10
경남,영등포구,8
경남,중랑구,6
경남2,구로구,5
경남아너스빌,양천구,5
경남아너스빌,영등포구,14
경남아너스빌,은평구,8
경남아너스빌,중랑구,6
경남아너스빌(1356-0),강북구,20
경남아너스빌1차,동작구,6
경동윈츠리버,동작구,6
경희궁롯데캐슬,종로구,5
경희궁자이(2단지),종로구,12
경희궁자이(3단지),종로구,9
경희궁자이(4단지),종로구,9
고덕 아이파크,강동구,7
고덕그라시움,강동구,58
고덕롯데캐슬베네루체,강동구,14
고덕리엔파크3단지,강동구,6
고덕센트럴IPARK,강동구,16
고덕센트럴푸르지오,강동구,7
고덕아르테온,강동구,25
고덕자이,강동구,15
고덕주공9,강동구,6
고척파크푸르지오,구로구,8
공덕1삼성래미안,마포구,8
공덕3삼성래미안,마포구,6
공덕자이,마포구,6
공릉동한보에센시티아파트,노원구,16
공릉우성아파트,노원구,8
공릉해링턴플레이스,노원구,9
공작,영등포구,5
공항동부센트레빌,강서구,6
관악동부센트레빌,관악구,6
관악드림(동아),관악구,36
관악드림(삼성),관악구,19
관악산벽산타운5,금천구,30
관악산휴먼시아1단지,관악구,8
관악산휴먼시아2단지,관악구,55
관악월드메르디앙,관악구,5
관악파크푸르지오,관악구,9
관악푸르지오,관악구,47
광화문스페이스본(101동~105동),종로구,7
구로두산,구로구,42
구로두산위브,구로구,23
구로현대,구로구,10
구의현대2단지,광진구,5
구의현대7단지현대홈타운,광진구,7
구일우성,구로구,20
구파발10단지어울림(1011~1019동)BL3-1,은평구,5
구파발9단지래미안(916~928동)BL3-2,은평구,16
국제산장,관악구,10
그대家,관악구,10
그린나래,종로구,20
극동,강북구,6
극동,강서구,5
극동,구로구,5
극동,노원구,14
극동,성동구,13
극동,송파구,6
극동(105),동작구,28
극동2,광진구,5
극동늘푸른,노원구,8
극동아파트,도봉구,5
금강,구로구,5
금강(343),구로구,12
금천롯데캐슬골드파크1차,금천구,26
금천롯데캐슬골드파크2차201동202동,금천구,6
금천롯데캐슬골드파크3차,금천구,22
금천현대,금천구,18
금호1,도봉구,10
금호2,도봉구,5
금호베스트빌,성동구,6
금호삼성래미안,성동구,13
금호아파트,강동구,6
금호어울림,강남구,6
금호어울림,도봉구,5
금호어울림,서대문구,12
금호어울림,중랑구,5
금호어울림(580),중랑구,15
금호타운(583),노원구,6
길동우성,강동구,8
길성그랑프리텔,강서구,6
길음뉴타운1단지(래미안길음1차),성북구,10
길음뉴타운2단지푸르지오,성북구,33
길음뉴타운4단지(e편한세상),성북구,23
길음뉴타운5단지(래미안),성북구,10
길음뉴타운6단지(래미안),성북구,10
길음뉴타운7단지(두산위브),성북구,8
길음뉴타운8단지(래미안),성북구,20
길음뉴타운9단지(래미안),성북구,11
길음뉴타운경남아너스빌,성북구,17
길음뉴타운데시앙,성북구,9
길음동동부센트레빌(1278-0),성북구,23
길음서희스타힐스,성북구,7
길음역금호어울림센터힐,성북구,7
길훈,강서구,6
까치마을,강남구,34
꿈의숲SKVIEW,노원구,10
꿈의숲대명루첸아파트,성북구,15
꿈의숲롯데캐슬,강북구,5
꿈의숲아이파크,성북구,29
꿈의숲코오롱하늘채,성북구,9
꿈의숲푸르지오,성북구,23
꿈의숲한신더휴,강북구,10
꿈의숲해링턴플레이스,강북구,23
나성,강서구,6
낙성대현대아파트,관악구,5
낙성대현대홈타운,관악구,8
남가좌동현대,서대문구,21
남산대림,용산구,5
남산롯데캐슬아이리스,중구,6
남산타운,중구,62
남서울건영2,금천구,8
남서울힐스테이트,금천구,44
남성,영등포구,6
남양,서대문구,6
노원롯데캐슬시그니처,노원구,15
노원센트럴푸르지오,노원구,17
노원프레미어스엠코,노원구,5
녹번JR아파트,은평구,8
녹번역e편한세상캐슬,은평구,35
녹천역두산위브아파트,노원구,8
뉴캐슬,은평구,18
